Model,DPO3034
Firmware Version,2.07

Point Format,Y
Horizontal Units,S
Horizontal Scale,200
Sample Interval,0.2
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-8.908e+02,4.03594
-8.906e+02,4.03531
-8.904e+02,4.03594
-8.902e+02,4.03656
-8.900e+02,4.03594
-8.898e+02,4.035
-8.896e+02,4.03437
-8.894e+02,4.035
-8.892e+02,4.03437
-8.890e+02,4.03406
-8.888e+02,4.03375
-8.886e+02,4.03375
-8.884e+02,4.03156
-8.882e+02,4.03125
-8.880e+02,4.03125
-8.878e+02,4.03062
-8.876e+02,4.03031
-8.874e+02,4.03094
-8.872e+02,4.03062
-8.870e+02,4.03031
-8.868e+02,4.03
-8.866e+02,4.02906
-8.864e+02,4.02875
-8.862e+02,4.02844
-8.860e+02,4.02969
-8.858e+02,4.03
-8.856e+02,4.02906
-8.854e+02,4.02969
-8.852e+02,4.03
-8.850e+02,4.02906
-8.848e+02,4.02969
-8.846e+02,4.03094
-8.844e+02,4.03094
-8.842e+02,4.03
-8.840e+02,4.02969
-8.838e+02,4.02875
-8.836e+02,4.02875
-8.834e+02,4.02906
-8.832e+02,4.03
-8.830e+02,4.02875
-8.828e+02,4.02875
-8.826e+02,4.0275
-8.824e+02,4.02688
-8.822e+02,4.02781
-8.820e+02,4.02875
-8.818e+02,4.02875
-8.816e+02,4.02875
-8.814e+02,4.02813
-8.812e+02,4.02844
-8.810e+02,4.02813
-8.808e+02,4.02844
-8.806e+02,4.02875
-8.804e+02,4.02781
-8.802e+02,4.02875
-8.800e+02,4.02813
-8.798e+02,4.02781
-8.796e+02,4.02844
-8.794e+02,4.02875
-8.792e+02,4.02844
-8.790e+02,4.02844
-8.788e+02,4.02844
-8.786e+02,4.0275
-8.784e+02,4.0275
-8.782e+02,4.02781
-8.780e+02,4.02813
-8.778e+02,4.02688
-8.776e+02,4.02656
-8.774e+02,4.02594
-8.772e+02,4.02562
-8.770e+02,4.025
-8.768e+02,4.02562
-8.766e+02,4.02594
-8.764e+02,4.02594
-8.762e+02,4.02562
-8.760e+02,4.02562
-8.758e+02,4.02594
-8.756e+02,4.0275
-8.754e+02,4.02625
-8.752e+02,4.02594
-8.750e+02,4.025
-8.748e+02,4.02469
-8.746e+02,4.025
-8.744e+02,4.025
-8.742e+02,4.02531
-8.740e+02,4.02438
-8.738e+02,4.02656
-8.736e+02,4.02688
-8.734e+02,4.02562
-8.732e+02,4.02625
-8.730e+02,4.02656
-8.728e+02,4.02562
-8.726e+02,4.02531
-8.724e+02,4.02438
-8.722e+02,4.02438
-8.720e+02,4.025
-8.718e+02,4.02375
-8.716e+02,4.02375
-8.714e+02,4.02375
-8.712e+02,4.02344
-8.710e+02,4.02469
-8.708e+02,4.02469
-8.706e+02,4.02344
-8.704e+02,4.0225
-8.702e+02,4.0225
-8.700e+02,4.02313
-8.698e+02,4.02344
-8.696e+02,4.02344
-8.694e+02,4.02344
